video_id,ptype,label,n_frames,mean_own,std_own,mean_tok_safe,std_tok_safe,mean_tok_near_crash,std_tok_near_crash,mean_tok_crash,std_tok_crash,mean_prompt_safe,std_prompt_safe,mean_prompt_near_crash,std_prompt_near_crash,mean_prompt_crash,std_prompt_crash
-2PbLgrSGfc,P_label,crash,8,29.793848037719727,2.960805892944336,23.58128547668457,1.5571479797363281,24.831207275390625,3.153515577316284,25.374080657958984,3.175525188446045,27.80918312072754,2.4680802822113037,29.619930267333984,3.0341227054595947,29.793848037719727,2.9608044624328613
2ykoE_FyWpI,P_label,crash,8,31.00031089782715,1.824830412864685,24.28097152709961,1.0783262252807617,26.93363380432129,2.3733057975769043,27.103404998779297,2.324596881866455,29.544395446777344,0.7970963716506958,31.165485382080078,1.4190365076065063,31.00031280517578,1.824828028678894
NqiIYzetr6g,P_label,crash,8,28.70144271850586,2.2674853801727295,24.244525909423828,1.7281118631362915,24.84084701538086,2.9727842807769775,25.284515380859375,2.9643893241882324,26.634557723999023,1.843130111694336,29.298786163330078,2.052079200744629,28.70144271850586,2.267484664916992
TIxUylmJeh4,P_label,crash,8,30.36575698852539,2.1265869140625,23.5930118560791,1.5921012163162231,25.81022834777832,3.069899797439575,26.480741500854492,3.0448646545410156,28.828529357910156,2.019361972808838,29.98492431640625,2.5176734924316406,30.365753173828125,2.126586437225342
Wc8mgFUCLsM,P_label,crash,8,32.661842346191406,1.2489386796951294,24.23430824279785,1.3097076416015625,26.394817352294922,2.2705130577087402,26.82660484313965,2.3642985820770264,31.21664810180664,0.9617341160774231,33.084449768066406,1.2064316272735596,32.66183853149414,1.2489373683929443
ZPv9uEcdrGI,P_label,crash,8,32.47394561767578,2.3958444595336914,24.743412017822266,1.7615394592285156,27.612125396728516,3.0825858116149902,27.717792510986328,2.871617078781128,30.359411239624023,1.9916430711746216,32.22988510131836,2.1765267848968506,32.473941802978516,2.3958418369293213
mMImGwGp_LY,P_label,crash,8,28.39219093322754,1.851919412612915,22.81828498840332,0.4499052166938782,23.69141960144043,1.0277767181396484,23.21262550354004,1.280190110206604,27.925657272338867,1.4419127702713013,28.359704971313477,1.6554648876190186,28.39219093322754,1.8519179821014404
v3HZHgZfU6M,P_label,crash,8,29.431381225585938,2.895218849182129,23.524898529052734,1.5384353399276733,25.559661865234375,2.8023874759674072,24.86147689819336,3.043931245803833,26.50115966796875,2.4556193351745605,28.590457916259766,3.2031970024108887,29.431379318237305,2.8952174186706543
w6ZUtZ3yYeA,P_label,crash,8,31.951101303100586,2.4617362022399902,23.800703048706055,1.5144503116607666,25.946304321289062,2.880563974380493,26.726133346557617,2.7782440185546875,30.346172332763672,1.6292108297348022,32.09737014770508,2.049612283706665,31.951099395751953,2.4617364406585693
xuXJVzOMu0I,P_label,crash,8,32.075927734375,1.312540888786316,26.3698787689209,0.7903748154640198,28.370359420776367,1.5939868688583374,28.266328811645508,1.8645334243774414,31.13619613647461,1.2955574989318848,32.730445861816406,1.2059484720230103,32.075931549072266,1.3125423192977905
-2PbLgrSGfc,P_label,near_crash,8,32.100528717041016,2.324934244155884,23.293346405029297,0.8632853627204895,23.98273468017578,2.0267672538757324,24.792713165283203,2.0716660022735596,30.76336097717285,1.6441439390182495,32.100528717041016,2.3249335289001465,31.362096786499023,2.0828869342803955
NqiIYzetr6g,P_label,near_crash,8,28.1916446685791,1.3722578287124634,21.376638412475586,0.3103993237018585,21.082632064819336,0.608479380607605,21.145811080932617,0.8334053158760071,25.77103042602539,1.397097110748291,28.1916446685791,1.3722611665725708,27.297527313232422,1.4597630500793457
TIxUylmJeh4,P_label,near_crash,8,31.160587310791016,2.110292911529541,23.71227264404297,1.2716140747070312,25.658483505249023,2.2985117435455322,25.08112335205078,2.6194710731506348,29.0573787689209,1.5820122957229614,31.16059112548828,2.1102895736694336,30.317768096923828,2.3096909523010254
