scenario_id,safe,near_crash,crash,near_minus_safe,crash_minus_safe,argmax,range
1376,28.701,31.928,27.111,3.227,-1.59,near-crash,4.817
1377,22.823,26.78,27.855,3.957,5.032,crash,5.032
1381,26.151,28.727,27.115,2.576,0.964,near-crash,2.576
1382,25.506,28.268,26.624,2.762,1.118,near-crash,2.762
1383,27.915,27.281,28.716,-0.634,0.801,crash,1.435
1398,24.973,29.85,26.247,4.877,1.274,near-crash,4.877
1485,30.634,29.367,28.853,-1.267,-1.781,safe,1.781
1500,29.282,29.555,30.889,0.273,1.607,crash,1.607
