backbone,label,n,mean,std,min,max
clip_vitb32,safe,10,19.8564,2.9242,13.8215,23.3158
clip_vitb32,near-crash,10,20.8199,1.5357,18.4516,23.2292
clip_vitb32,crash,10,21.8611,2.2496,17.0374,24.5660
clip_vitl14,safe,10,17.8064,1.9237,14.1897,20.7975
clip_vitl14,near-crash,10,18.1832,1.3290,15.9491,20.1584
clip_vitl14,crash,10,19.6083,2.3944,16.0355,23.0953
siglip_b16,safe,10,-3.2464,2.5579,-6.3915,0.7723
siglip_b16,near-crash,10,-4.4684,1.4580,-6.5010,-1.5817
siglip_b16,crash,10,-3.6258,1.1188,-5.4897,-1.5163
